company,date,location,market,channel,product_category,total_sale_amount
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-02,Swansea,large businesses,business-to-consumer,laptops,209.68
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-16,Glasgow,medium sized business,business-to-consumer,desks,414.8
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-17,Bradford,large businesses,business-to-consumer,action figures,534.66
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-09,Chelmsford,medium sized business,business-to-consumer,inflatable pool,1086.48
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-27,Salisbury,medium sized business,business-to-consumer,long life food,410.34
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-12,Lisburn,small business,business-to-consumer,luggage bags,204.92
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-27,Chelmsford,medium sized business,business-to-consumer,mats and rugs,3377.6
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-13,Preston,small business,business-to-consumer,inflatable pool,559.44
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-13,Inverness,small business,business-to-consumer,squash,607.32
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-17,Hereford,medium sized business,business-to-consumer,desks,1697.04
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-27,Leicester,medium sized business,business-to-consumer,cleaning supplies,2033.01
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-11,Nottingham,medium sized business,business-to-consumer,action figures,1357.1
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-10,Ripon,large businesses,business-to-consumer,video games,4017.78
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-27,Plymouth,large businesses,business-to-consumer,bbq,2031.85
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-25,Nottingham,medium sized business,business-to-consumer,squash,1738.75
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-25,Worcester,medium sized business,business-to-consumer,bbq,2280.11
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-15,Salisbury,small business,business-to-consumer,cups and mugs,132.57
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-11,Armag,large businesses,business-to-consumer,football,358.74
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-26,Dundee,small business,business-to-consumer,camping tent,4024.6
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-04,Chester,medium sized business,business-to-consumer,desks,759.08
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-23,Armag,large businesses,business-to-consumer,rugby,96.88
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-13,Aberdee,medium sized business,business-to-consumer,cups and mugs,3135.5
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-14,Swansea,medium sized business,business-to-consumer,womens fashion,63.76
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-03,Norwich,small business,business-to-consumer,desks,2701.65
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-19,Bradford,medium sized business,business-to-consumer,desks,567.3
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-24,Nottingham,small business,business-to-consumer,mens fashion,1930.8
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-23,Chelmsford,medium sized business,business-to-consumer,cutlery,412.76
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-23,Stirling,medium sized business,business-to-consumer,televisions,1316.24
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-06,Sheffield,small business,business-to-consumer,mens fashion,222.22
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-20,Aberdee,medium sized business,business-to-consumer,basketball,190.86
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-28,Salford,medium sized business,business-to-consumer,camping stove,442
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-24,St Asaph (Llanelwy),medium sized business,business-to-consumer,camping stove,101.7
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-08,Armag,medium sized business,business-to-consumer,computers,272.08
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-14,Ripon,large businesses,business-to-consumer,badminton,1613.7
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-01,York,medium sized business,business-to-consumer,squash,2933.46
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-20,Aberdee,large businesses,business-to-consumer,badminton,1530.8
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-01,Swansea,small business,business-to-consumer,holdall bags,196.82
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-27,Coventry,large businesses,business-to-consumer,dolls,570.78
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-15,Lancaster,medium sized business,business-to-consumer,house plants,609.58
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-29,Derby,large businesses,business-to-consumer,tables,4122.81
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-14,Norwich,large businesses,business-to-consumer,rugby,2930.7
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-18,Liverpool,large businesses,business-to-consumer,camping tent,511.62
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-11,Leicester,large businesses,business-to-consumer,camping stove,940.92
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-14,Kingston upon Hull,medium sized business,business-to-consumer,inflatable pool,1642.64
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-27,Coventry,medium sized business,business-to-consumer,video games,183.24
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-27,Inverness,large businesses,business-to-consumer,glassware,658.14
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-11,Newry,medium sized business,business-to-consumer,video games,945.09
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-18,Belfast,large businesses,business-to-consumer,bbq,594.81
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-27,Derby,large businesses,business-to-consumer,torch,3396.12
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-08,Chichester,large businesses,business-to-consumer,basketball,1281.99
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-26,Nottingham,large businesses,business-to-consumer,laptops,2261.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-10,Portsmouth,medium sized business,business-to-consumer,camping stove,512.88
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-02,Cardiff,large businesses,business-to-consumer,paperback books,3939.12
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-13,Londonderry,small business,business-to-consumer,torch,4655.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-03,Wincheste,large businesses,business-to-consumer,womens fashion,32.73
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-04,Chester,small business,business-to-consumer,bbq,3577.9
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-25,Peterborough,large businesses,business-to-consumer,story books,1507.31
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-11,York,medium sized business,business-to-consumer,hardback books,1896
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-10,St Davids,large businesses,business-to-consumer,glassware,251.47
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-28,Newport,large businesses,business-to-consumer,badminton,2503.08
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-20,Londonderry,small business,business-to-consumer,mens fashion,2724.5
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-10,Liverpool,small business,business-to-consumer,story books,1632.89
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-11,Bango,small business,business-to-consumer,mens fashion,504.1
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-20,Westminster,large businesses,business-to-consumer,laptops,1689.95
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-30,Bath,large businesses,business-to-consumer,story books,294.18
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-27,Derby,large businesses,business-to-consumer,torch,1115
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-26,Stoke-on-Trent,large businesses,business-to-consumer,torch,2878.88
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-10,Wolverhampton,large businesses,business-to-consumer,bbq,547.65
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-05,Cardiff,large businesses,business-to-consumer,long life food,2091.81
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-09,Truro,large businesses,business-to-consumer,house plants,18.98
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-14,Inverness,small business,business-to-consumer,camping stove,1975
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-06,Gloucester,medium sized business,business-to-consumer,computers,1771.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-05,St Albans,small business,business-to-consumer,desks,1777.98
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-18,Ripon,large businesses,business-to-consumer,video games,84.5
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-01,Ely,large businesses,business-to-consumer,laptops,3645.68
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-26,Lichfield,medium sized business,business-to-consumer,pots and pans,532.1
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-18,Lancaster,small business,business-to-consumer,luggage bags,2363.22
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-02,Durham,medium sized business,business-to-consumer,paperback books,917.7
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-05,Aberdee,small business,business-to-consumer,action figures,1902.95
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-09,Newry,medium sized business,business-to-consumer,video games,1948.6
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-15,Perth,small business,business-to-consumer,sofas,2447.92
